x,y,xx,yy
569626.161,6246881.136,569569.7258,6246434.209
569626.4108,6246877.564,569574.4887,6246442.044
569626.44,6246876.756,569574.5288,6246442.111
569626.5016,6246851.814,569580.7267,6246452.457
569626.495,6246851.386,569590.5885,6246467.511
569625.4238,6246819.118,569600.8645,6246482.146
569625.4075,6246818.774,569601.3781,6246482.942
569623.3556,6246785.643,569601.8272,6246483.777
569621.5756,6246756.425,569609.0686,6246498.61
569621.1714,6246723.647,569609.2724,6246499.049
569622.9781,6246696.717,569616.3171,6246515.091
569626.6137,6246662.546,569616.716,6246516.127
569626.6691,6246661.811,569617.0174,6246517.196
569627.6631,6246639.48,569622.7984,6246542.034
569627.6701,6246638.604,569623.036,6246543.416
569626.8524,6246609.991,569625.7875,6246567.936
569625.8588,6246568.984,569625.8588,6246568.984
569625.7875,6246567.936,569626.8524,6246609.991
569623.036,6246543.416,569627.6701,6246638.604
569622.7984,6246542.034,569627.6631,6246639.48
569617.0174,6246517.196,569626.6691,6246661.811
569616.716,6246516.127,569626.6137,6246662.546
569616.3171,6246515.091,569622.9781,6246696.717
569609.2724,6246499.049,569621.1714,6246723.647
569609.0686,6246498.61,569621.5756,6246756.425
569601.8272,6246483.777,569623.3556,6246785.643
569601.3781,6246482.942,569625.4075,6246818.774
569600.8645,6246482.146,569625.4238,6246819.118
569590.5885,6246467.511,569626.495,6246851.386
569580.7267,6246452.457,569626.5016,6246851.814
569574.5288,6246442.111,569626.44,6246876.756
569574.4887,6246442.044,569626.4108,6246877.564
569569.7258,6246434.209,569626.161,6246881.136
